movie,release_date,production_budget,domestic_gross,worldwide_gross
sausage party,2016-08-12,19000000,97670358,141344255
sea of love,1989-09-15,19000000,58571513,58571513
just married,2003-01-10,19000000,56127162,101564935
i can do bad all by myself,2009-09-11,19000000,51733921,51733921
a cinderella story,2004-07-16,19000000,51438175,70164105
the shining,1980-05-23,19000000,44017374,44728227
thirteen ghosts,2001-10-26,19000000,41867960,68467960
house on haunted hill,1999-10-29,19000000,40846082,65090541
the crazies,2010-02-26,19000000,39123589,56445534
notorious,2009-01-16,19000000,36843682,44972183
nobodyâs fool,2018-11-02,19000000,31713110,32589493
the switch,2010-08-20,19000000,27758465,49858465
leap year,2010-01-08,19000000,25918920,32618920
the book thief,2013-11-08,19000000,21488481,76086711
"gone, baby, gone",2007-10-19,19000000,20300218,34352162
thomas and the magic railroad,2000-07-26,19000000,15911332,15911332
mutiny on the bounty,1962-11-08,19000000,13680000,13680000
sen to chihiro no kamikakushi,2002-09-20,19000000,10049886,274949886
sex drive,2008-10-17,19000000,8402485,10412485
firestorm,1998-01-09,19000000,8123860,8123860
take me home tonight,2011-03-04,19000000,6928068,7576604
won't back down,2012-09-28,19000000,5310554,5745503
action point,2018-06-01,19000000,5059608,5103675
the fall of the roman empire,1964-01-01,19000000,4750000,4750000
the nutcracker,1993-11-24,19000000,2119994,2119994
george balanchine\'s the nutcracker,2011-12-13,19000000,2119994,2119994
kansas city,1996-08-16,19000000,1353824,1353824
out of the inferno,2016-03-08,19000000,0,0
george a. romero's land of the dead,2005-06-24,18975000,20700082,47751015
indigã¨nes,2006-12-15,18900000,320700,26063572
the amityville horror,2005-04-15,18500000,65233369,109175673
adaptation,2002-12-06,18500000,22498520,32531759
the invention of lying,2009-10-02,18500000,18451251,32679264
fear and loathing in las vegas,1998-05-22,18500000,10680275,13711903
ne le dis ã personne,2008-07-04,18500000,6198883,33954018
left behind,2001-02-02,18500000,4221341,4221341
neighbors,2014-05-09,18000000,150086800,270944428
borat,2006-11-03,18000000,128505958,261443242
the mask,1994-07-29,18000000,119920129,351620129
big,1988-06-03,18000000,114968774,151668774
legally blonde,2001-07-13,18000000,96493426,141809235
mean girls,2004-04-30,18000000,86047227,130953026
star trek iii: the search for spock,1984-06-01,18000000,76471046,87000000
the exorcism of emily rose,2005-09-09,18000000,75072454,144529078
deuce bigalow: male gigolo,1999-12-10,18000000,65535067,92935067
barbershop 2: back in business,2004-01-01,18000000,65070412,65842412
the family stone,2005-12-16,18000000,60062868,92357499
bad santa,2003-11-26,18000000,60060328,77147031
predator,1987-06-12,18000000,59735548,98267558
my big fat greek wedding 2,2016-03-25,18000000,59689605,92096558
the perfect guy,2015-09-11,18000000,57027435,60278166
austin powers: international man of mystery,1997-05-02,18000000,53883989,67683989
diary of a wimpy kid: rodrick rules,2011-03-25,18000000,52698535,73695194
amadeus,1984-09-19,18000000,51973029,51973029
prom night,2008-04-11,18000000,43869350,57193655
soul surfer,2011-04-08,18000000,43853424,47158652
under the tuscan sun,2003-09-26,18000000,43601508,57490024
uncle drew,2018-06-29,18000000,42469946,46527161
birdman or (the unexpected virtue of ignorance),2014-10-17,18000000,42340598,103215094
peggy sue got married,1986-10-10,18000000,41382841,41382841
gosford park,2001-12-26,18000000,41300105,41300105
orange county,2002-01-11,18000000,41059716,43308707
blue jasmine,2013-07-26,18000000,33404871,102912961
united 93,2006-04-28,18000000,31567134,77635035
honey,2003-12-05,18000000,30272254,62646763
the fog,2005-10-14,18000000,29511112,37048526
spy hard,1996-05-24,18000000,26936265,26936265
ricki and the flash,2015-08-07,18000000,26839498,41166033
glory,1989-12-13,18000000,26593580,26593580
conan the destroyer,1984-06-29,18000000,26400000,26400000
love the coopers,2015-11-13,18000000,26302731,42227490
catch-22,1970-06-24,18000000,24911670,24911670
observe and report,2009-04-10,18000000,24007324,27148898
raging bull,1980-11-14,18000000,23380203,23380203
love happens,2009-09-18,18000000,22965110,36133014
fame,2009-09-25,18000000,22455510,80227619
the circle,2017-04-28,18000000,20497844,40651864
young sherlock holmes,1985-12-04,18000000,19739000,19739000
127 hours,2010-11-05,18000000,18335230,60217171
small time crooks,2000-05-19,18000000,17266359,29934477
center stage,2000-05-12,18000000,17200925,21361109
norm of the north,2016-01-15,18000000,17062499,30535660
catch that kid,2004-02-06,18000000,16703799,16959614
jobs,2013-08-16,18000000,16131410,43402515
life as a house,2001-10-26,18000000,15652637,23889158
youth in revolt,2010-01-08,18000000,15285588,19685588
and so it goes,2014-07-25,18000000,15160801,17920013
"i love you, beth cooper",2009-07-10,18000000,14800725,16382538
blow out,1981-07-24,18000000,13747234,13747234
the tailor of panama,2001-03-30,18000000,13491653,27491653
the legend of the lone ranger,1981-05-22,18000000,13400000,13400000
labor day,2014-01-31,18000000,13371528,14189810
getaway,2013-08-30,18000000,10501938,11813989
the ice storm,1997-09-26,18000000,8038061,16011975
being julia,2004-10-15,18000000,7739049,14488705
troop beverly hills,1989-03-22,18000000,7190505,7190505
nine 1/2 weeks,1986-02-21,18000000,6734844,6734844
the last station,2010-01-15,18000000,6617867,15696146
dragonslayer,1981-06-26,18000000,6000000,6000000
ed wood,1994-09-30,18000000,5828466,5828466
mongol,2008-06-06,18000000,5705761,27147349
rocknrolla,2008-10-08,18000000,5700626,27794339
megaforce,1982-06-25,18000000,5675599,5675599
mao's last dancer,2010-08-20,18000000,4806750,25941437
hamlet,1996-12-25,18000000,4501094,7129670
the railway man,2014-04-11,18000000,4438438,23910210
restoration,1995-12-29,18000000,4100000,4100000
midnight special,2016-03-18,18000000,3712282,7680250
miss sloane,2016-11-25,18000000,3500605,7719630
metallica through the never,2013-09-27,18000000,3419967,9082906
anything else,2003-09-19,18000000,3203044,13203044
unforgettable,1996-02-23,18000000,2483790,2483790
t2: trainspotting,2017-03-17,18000000,2402004,42091262
das weisse band: eine deutsche kindergeschichte,2009-12-30,18000000,2222862,25727044
8 million ways to die,1986-04-25,18000000,1305114,1305114
phantom,2013-03-01,18000000,1034589,1199510
the salton sea,2002-04-26,18000000,676698,676698
the informers,2009-04-24,18000000,315000,315000
one man's hero,1999-09-24,18000000,229311,229311
carlos,2010-10-15,18000000,145526,1619153
renaissance,2006-09-22,18000000,70644,2401413
i come with the rain,2008-12-31,18000000,0,627422
i am wrath,2016-04-15,18000000,0,309608
wolves,2014-11-14,18000000,0,94953
day of the dead,2008-04-08,18000000,0,0
the prince,2014-08-22,18000000,0,0
forsaken,2016-02-19,18000000,0,0
red sonja,1985-06-28,17900000,6905861,6908640
red lights,2012-07-13,17700000,49521,14518884
superbad,2007-08-17,17500000,121463226,169955142
madea goes to jail,2009-02-20,17500000,90508336,90508336
step up 2 the streets,2008-02-14,17500000,58017783,148586910
hoodwinked,2006-01-13,17500000,51386611,109843390
hotel rwanda,2004-12-22,17500000,23519128,36521223
beerfest,2006-08-25,17500000,19185184,20159316
black nativity,2013-11-27,17500000,7018188,7285135
city of ghosts,2003-04-25,17500000,325491,325491
taxi 4,2007-12-31,17500000,0,60865364
a quiet place,2018-04-06,17000000,188024361,334522294
the others,2001-08-10,17000000,96522687,207765056
aliens,1986-07-18,17000000,85160248,183316455
letâs be cops,2014-08-13,17000000,82390774,136890774
i know what you did last summer,1997-10-17,17000000,72250091,125250091
my fair lady,1964-10-22,17000000,72000000,72071636
sideways,2004-10-22,17000000,71502303,109793192
the best man holiday,2013-11-15,17000000,70525195,72835710
friday the 13th,2009-02-13,17000000,65002019,92670237
pitch perfect,2012-09-28,17000000,65001093,116044347
halloween: h2o,1998-08-05,17000000,55041738,55041738
evil dead,2013-04-05,17000000,54239856,97778356
jet li's hero,2004-08-27,17000000,53652140,177535958
saw 3d,2010-10-29,17000000,45710178,133735284
"mcfarland, usa",2015-02-20,17000000,44480275,45707924
almost christmas,2016-11-11,17000000,42065185,42493506
the hills have eyes,2006-03-10,17000000,41778863,70355813
40 days and 40 nights,2002-03-01,17000000,37939782,95092667
good boy!,2003-10-10,17000000,37667746,45312217
smokin' aces,2007-01-26,17000000,35662731,57263440
a night at the roxbury,1998-10-02,17000000,30331165,30331165
beastly,2011-03-04,17000000,27865571,38028230
brooklyn's finest,2010-03-05,17000000,27163593,39233233
tron,1982-07-09,17000000,26918576,26918576
lottery ticket,2010-08-20,17000000,24719879,24719879
dickie roberts: former child star,2003-09-05,17000000,22734486,23734486
atl,2006-03-31,17000000,21170563,21170563
summer catch,2001-08-24,17000000,19693891,19693891
a simple plan,1998-12-11,17000000,16316273,16316273
larry the cable guy: health inspector,2006-03-24,17000000,15680099,15680099
wes craven presents: they,2002-11-27,17000000,12840842,16140842
the adventures of elmo in grouchland,1999-10-01,17000000,11634458,11634458
superman iv: the quest for peace,1987-07-24,17000000,11227824,11227824
55 days at peking,1963-05-29,17000000,10000000,10000000
my life in ruins,2009-06-05,17000000,8677425,20477425
american dreamz,2006-04-21,17000000,7314027,16510971
how she move,2008-01-25,17000000,7070641,8607815
running scared,2006-02-24,17000000,6855137,9729088
the apparition,2012-08-24,17000000,4936819,10637281
bobby jones: stroke of genius,2004-04-30,17000000,2694071,2694071
shanghai surprise,1986-08-29,17000000,2315000,2315000
l'illusionniste,2010-12-25,17000000,2231474,8609949
roar,1981-01-01,17000000,2110050,2110050
veronica guerin,2003-10-17,17000000,1569918,9438074
genius,2016-06-10,17000000,1361045,7265283
southland tales,2007-11-14,17000000,275380,364607
escobar: paradise lost,2015-06-26,17000000,195792,3917679
"mune, le gardien de la lune",2017-09-26,17000000,0,14534046
chasseurs de dragons,2009-06-23,17000000,0,13446115
damnation alley,1977-10-21,17000000,0,0
crawl,2019-07-12,17000000,0,0
the young messiah,2016-03-11,16800000,6469813,7313697
fur: an imaginary portrait of diane arbus,2006-11-10,16800000,223202,2281089
my girl,1991-11-27,16500000,58011485,58011485
wall street,1987-12-11,16500000,43848100,43848100
sense and sensibility,1995-12-11,16500000,42993774,134993774
the illusionist,2006-08-18,16500000,39868642,83792062
becoming jane,2007-08-03,16500000,18663911,39380876
house of sand and fog,2003-12-19,16500000,13005485,16157923
sydney white,2007-09-21,16500000,11892415,13636339
arn - tempelriddaren,2007-12-31,16500000,0,21404122
dead poets society,1989-06-02,16400000,95860116,239500000
dumb & dumber,1994-12-16,16000000,127175374,246400000
when harry met sallyâ¦,1989-07-14,16000000,92823546,92961960
road trip,2000-05-19,16000000,68525609,119739110
the verdict,1982-12-08,16000000,53977250,53977250
varsity blues,1999-01-15,16000000,52894169,54294169
moonrise kingdom,2012-05-25,16000000,45512466,68848446
the artist,2011-11-25,16000000,44667095,128256712
the unborn,2009-01-09,16000000,42670410,78208812
the master of disguise,2002-08-02,16000000,40363530,40363530
the texas chainsaw massacre: the beginning,2006-10-06,16000000,39517763,50517763
el laberinto del fauno,2006-12-29,16000000,37634615,87041569
the roommate,2011-02-04,16000000,37300107,52545707
the messengers,2007-02-02,16000000,35374833,53774833
see spot run,2001-03-02,16000000,33357476,43057552
double impact,1991-08-09,16000000,29090445,29090445
baby boy,2001-06-27,16000000,28734552,28734552
joe dirt,2001-04-11,16000000,27087695,30987695
the women,2008-09-12,16000000,26902075,50103808
hot fuzz,2007-04-20,16000000,23618786,81742618
vicky cristina barcelona,2008-08-15,16000000,23216709,104504817
boys and girls,2000-06-16,16000000,21799652,21799652
superfly,2018-06-13,16000000,20537137,20723581
lã©on,1994-11-18,16000000,19284974,45284974
remember me,2010-03-12,16000000,19068240,56506120
white oleander,2002-10-11,16000000,16357770,21657770
jennifer's body,2009-09-18,16000000,16204793,31943401
drowning mona,2000-03-03,16000000,15427192,15980376
radio days,1987-01-30,16000000,14792779,14792779
how to deal,2003-07-18,16000000,14108518,14108518
left behind,2014-10-03,16000000,14019924,20769209
soul plane,2004-05-28,16000000,13922211,14553807
my stepmother is an alien,1988-12-09,16000000,13854000,13854000
people like us,2012-06-29,16000000,12431792,12617472
the thirteenth floor,1999-05-28,16000000,11810854,11810854
the cookout,2004-09-03,16000000,11540112,11540112
meteor,1979-10-19,16000000,8400000,8400000
highlander,1986-03-07,16000000,5900000,12900000
bleed for this,2016-11-18,16000000,5083906,6603926
hollywood ending,2002-05-03,16000000,4839383,14839383
duets,2000-09-15,16000000,4734235,6615452
detroit rock city,1999-08-13,16000000,4217115,5825314
things we lost in the fire,2007-10-19,16000000,3287315,8120148
the homesman,2014-11-14,16000000,2429989,8217571
trance,2013-04-05,16000000,2322593,22594052
the immigrant,2014-05-16,16000000,2013456,7585011
steel,1997-08-15,16000000,1686429,1686429
the white countess,2005-12-21,16000000,1669971,2814566
bienvenue chez les ch'tis,2008-07-25,16000000,1477650,247474497
"men, women and children",2014-10-01,16000000,705908,1685403
enter the void,2010-09-24,16000000,337997,1467278
good,2008-12-31,16000000,31631,31631
vamps,2012-11-02,16000000,3361,94812
haeundae,2010-05-11,16000000,0,64733391
hachiko: a dog's story,2010-03-09,16000000,0,47707417
zulu,2013-12-31,16000000,0,1844228
second act,2018-12-21,15700000,39282227,63288854
juwanna mann,2002-06-21,15600000,13571817,13771817
la mã´me,2007-06-08,15500000,10299782,88611837
ararat,2002-11-15,15500000,1693000,1693000
slow burn,2007-04-13,15500000,1237615,1237615
madison,2005-04-22,15500000,517262,517262
the yellow handkerchief,2010-02-26,15500000,318623,318623
wasabi,2002-09-27,15300000,81525,7000000
slither,2006-03-31,15250000,7802450,12930343
home alone,1990-11-16,15000000,285761243,476684675
beverly hills cop,1984-12-05,15000000,234760478,316300000
top gun,1986-05-16,15000000,179800601,356799634
tootsie,1982-12-17,15000000,177200000,177200000
3 men and a baby,1987-11-25,15000000,167780960,167780960
the kingâs speech,2010-11-26,15000000,138797449,430821168
american beauty,1999-09-15,15000000,130058047,356258047
"crouching tiger, hidden dragon",2000-12-08,15000000,128067808,213514672
twins,1988-12-09,15000000,111936388,216600000
scream,1996-12-20,15000000,103046663,173046663
annabelle: creation,2017-08-11,15000000,102092201,305384865
jackass presents: bad grandpa,2013-10-25,15000000,102003019,160903019
heaven can wait,1978-06-28,15000000,98800000,98800000
the color purple,1985-12-18,15000000,93589701,93589701
the imitation game,2014-11-28,15000000,91125143,227740463
beetlejuice,1988-03-30,15000000,73839613,73887546
ben-hur,1959-11-18,15000000,73000000,73259017
mama,2013-01-18,15000000,71628180,148095566
private benjamin,1980-10-10,15000000,69847348,69847348
coal miner's daughter,1980-03-07,15000000,67182787,67182787
lethal weapon,1987-03-06,15000000,65192350,120192350
diary of a wimpy kid,2010-03-19,15000000,64003625,76954311
national lampoonâs vacation,1983-07-29,15000000,61400000,61400000
halloween,2007-08-31,15000000,58269151,77514401
the queen,2006-09-30,15000000,56441711,128885873
why did i get married?,2007-10-12,15000000,55204525,55934178
the woman in black,2012-02-03,15000000,54333290,128955898
little women,1994-12-21,15000000,50003303,50003303
the deer hunter,1979-01-01,15000000,50000000,50009253
blackkklansman,2018-08-10,15000000,49275340,93017335
when a stranger calls,2006-02-03,15000000,47860214,67215435
big fat liar,2002-02-08,15000000,47811275,52461017
cop land,1997-08-15,15000000,44906632,63706632
wag the dog,1997-12-25,15000000,43057470,64252038
snitch,2013-02-22,15000000,42930462,57907734
the lizzie mcguire movie,2003-05-02,15000000,42734455,55534455
krampus,2015-12-04,15000000,42725475,61788393
end of watch,2012-09-21,15000000,41003371,57586606
the faculty,1998-12-25,15000000,40283321,40283321
what's love got to do with it,1993-06-09,15000000,39100956,39100956
not another teen movie,2001-12-14,15000000,37882551,62401343
wild,2014-12-03,15000000,37880356,52460543
lawrence of arabia,1962-12-16,15000000,37495385,69995385
the theory of everything,2014-11-07,15000000,35893537,123327692
drive,2011-09-16,15000000,35060689,81357930
the skulls,2000-03-31,15000000,35007180,35007180
hawaii,1966-10-10,15000000,34562222,34562222
the favourite,2018-11-23,15000000,34366783,94113929
malibu's most wanted,2003-04-18,15000000,34308901,34499204
all about steve,2009-09-04,15000000,33862903,40127259
where the heart is,2000-04-28,15000000,33771174,40862054
halloween 2,2009-08-28,15000000,33392973,38512850
the last house on the left,2009-03-13,15000000,32752215,46526243
because of winn-dixie,2005-02-18,15000000,32647042,33508485
the wedding date,2005-02-04,15000000,31726995,47175038
the princess bride,1987-09-25,15000000,30857000,30859628
halloween: resurrection,2002-07-12,15000000,30259652,37659652
the great debaters,2007-12-25,15000000,30226144,30261293
when the game stands tall,2014-08-22,15000000,30127963,30138912
clash of the titans,1981-06-12,15000000,30000000,44400000
confessions of a teenage drama queen,2004-02-20,15000000,29331068,33118854
the object of my affection,1998-04-17,15000000,29145924,29145924
28 weeks later,2007-05-11,15000000,28638916,64232714
grosse pointe blank,1997-04-11,15000000,28084357,31070412
love and basketball,2000-04-21,15000000,27441122,27709625
home again,2017-09-08,15000000,27020284,37336874
book of shadows: blair witch 2,2000-10-27,15000000,26421314,47721314
boogie nights,1997-10-10,15000000,26410771,43111725
ramona and beezus,2010-07-23,15000000,26167002,27469621
the november man,2014-08-27,15000000,25018119,34820335
the craft,1996-05-03,15000000,24769466,55669466
match point,2005-12-28,15000000,23089926,87973835
the remains of the day,1993-11-05,15000000,22954968,63954968
nowhere to run,1993-01-15,15000000,22189039,52189039
urban legends: final cut,2000-09-22,15000000,21468807,38574362
the place beyond the pines,2013-03-29,15000000,21403519,47011449
flicka,2006-10-20,15000000,21000147,21896367
the hills have eyes ii,2007-03-23,15000000,20804166,37466538
keanu,2016-04-29,15000000,20591853,20688141
country strong,2010-12-22,15000000,20218921,20601987
tuck everlasting,2002-10-11,15000000,19161999,19344615
the marine,2006-10-13,15000000,18844784,22165608
disturbing behavior,1998-07-24,15000000,17507368,19014238
the big lebowski,1998-03-06,15000000,17498804,46189568
a most wanted man,2014-07-25,15000000,17237855,36068890
the hurt locker,2009-06-26,15000000,17017811,49894223
eye of the beholder,2000-01-28,15000000,16500786,18260865
the man with the iron fists,2012-11-02,15000000,15634090,22018988
firestarter,1984-05-11,15000000,15136870,15136870
miss bala,2019-02-01,15000000,14998027,15362298
killing them softly,2012-11-30,15000000,14945541,39238443
freddy got fingered,2001-04-20,15000000,14249005,14249005
one day,2011-08-19,15000000,13843771,59168692
de-lovely,2004-06-25,15000000,13337299,18524496
whip it,2009-10-02,15000000,13077184,18889972
the pirates who don't do anything: a veggietales movie,2008-01-11,15000000,12981269,13248444
u2 3d,2008-01-23,15000000,12898847,26170402
highlander: endgame,2000-09-01,15000000,12801190,12801190
the founder,2017-01-20,15000000,12786053,24403192
idlewild,2006-08-25,15000000,12669914,12669914
confidence,2003-04-25,15000000,12212417,12212417
knockaround guys,2002-10-11,15000000,11660180,12419700
the muse,1999-08-27,15000000,11614954,11614954
barney's great adventure,1998-04-03,15000000,11156471,11156471
new york stories,1989-03-01,15000000,10763469,10763469
home fries,1998-11-25,15000000,10513979,10513979
here on earth,2000-03-24,15000000,10494147,10845127
raise your voice,2004-10-08,15000000,10411980,14811980
brazil,1985-12-18,15000000,9929135,9932146
the dark half,1993-04-23,15000000,9579068,9579068
black snake moan,2007-03-02,15000000,9396870,10951153
dark blue,2003-02-21,15000000,9237470,12262065
a mighty heart,2007-06-22,15000000,9176787,19153568
brainstorm,1983-09-30,15000000,8921050,8921050
queen of katwe,2016-09-23,15000000,8874389,10055481
whatever it takes,2000-03-24,15000000,8735529,8735529
boat trip,2003-03-21,15000000,8586376,14933713
the importance of being earnest,2002-05-22,15000000,8378141,8378141
the love letter,1999-05-21,15000000,8322608,9010980
hoot,2006-05-05,15000000,8117637,8224998
in bruges,2008-02-08,15000000,7800825,34533783
promised land,2013-01-04,15000000,7597898,12394562
mulholland drive,2001-10-08,15000000,7219578,20785973
hotel artemis,2018-06-08,15000000,6708137,12758799
the rocker,2008-08-20,15000000,6409528,8767338
post grad,2009-08-21,15000000,6382178,6563402
whatever works,2009-06-19,15000000,5306706,35106706
the in crowd,2000-07-19,15000000,5217498,5217498
los tres entierros de melquiades estrada,2005-12-14,15000000,5027684,13454474
jakob the liar,1999-09-24,15000000,4956401,4956401
se jie,2007-09-28,15000000,4604982,65167430
"kiss kiss, bang bang",2005-10-21,15000000,4235837,16829464
idle hands,1999-04-30,15000000,4023741,4023741
scouts guide to the zombie apocalypse,2015-10-30,15000000,3703046,15554855
blood and chocolate,2007-01-26,15000000,3526588,6551310
you will meet a tall dark stranger,2010-09-22,15000000,3247816,34247816
rock the kasbah,2015-10-23,15000000,3020665,3386153
never let me go,2010-09-15,15000000,2434652,11173718
the disappointments room,2016-09-09,15000000,2423467,3503761
the company,2003-12-25,15000000,2281585,3396508
transsiberian,2008-07-18,15000000,2203641,6379575
crazy in alabama,1999-10-22,15000000,1954202,1954202
the clan of the cave bear,1986-01-17,15000000,1953732,1953732
the comedian,2017-02-03,15000000,1658706,1658706
funny games,2008-03-14,15000000,1294640,8200127
banlieue 13,2006-06-02,15000000,1200216,11599903
felicia's journey,1999-11-12,15000000,824295,1970268
metropolis,2002-01-25,15000000,673414,1405032
cã¬kã¨ niã¨ yinniã¡ng,2015-10-16,15000000,632542,11279884
things to do in denver when you're dead,1995-12-01,15000000,529766,529766
the reluctant fundamentalist,2013-04-26,15000000,528731,528731
the return,2004-02-06,15000000,501752,5953886
buffalo soldiers,2003-07-25,15000000,353743,353743
steal (canadian release),2003-04-25,15000000,220944,220944
centurion,2010-08-27,15000000,123570,7885048
ong-bak 2,2009-10-23,15000000,102458,7583050
silent trigger,1996-12-31,15000000,76382,76382
midnight meat train,2008-08-01,15000000,73548,1590246
winnie mandela,2013-09-06,15000000,61847,61847
the son of no one,2011-11-04,15000000,30680,1148578
all the queen's men,2002-10-25,15000000,22723,22723
the good night,2007-10-05,15000000,22441,22441
khumba,2013-12-06,15000000,0,20898221
a few best men,2015-05-05,15000000,0,17224539
autã³mata,2014-10-10,15000000,0,6775458
chiamatemi francesco - il papa della gente,2015-12-31,15000000,0,3925769
bathory,2008-12-31,15000000,0,3436763
san suk si gin,2010-02-05,15000000,0,2013340
dungeons & dragons: wrath of the dragon god,2005-12-31,15000000,0,909822
in dubious battle,2017-02-17,15000000,0,214182
broken horses,2015-09-01,15000000,0,3471
pandaemonium,2001-06-29,15000000,0,0
blinded by the light,2019-08-14,15000000,0,0
groundhog day,1993-02-12,14600000,70906973,70906973
magic mike xxl,2015-07-01,14500000,66013057,123660597
romeo+juliet,1996-11-01,14500000,46338728,147542381
elle s'appelait sarah,2011-07-22,14500000,7691700,25480031
freedom,2015-06-05,14500000,0,872757
unforgiven,1992-08-07,14400000,101157447,159157447
manderlay,2006-01-27,14200000,74205,543306
pretty woman,1990-03-23,14000000,178406268,432645872
fatal attraction,1987-09-18,14000000,156645693,320100000
slumdog millionaire,2008-11-12,14000000,141330703,384530440
towering inferno,1974-12-17,14000000,116000000,139700000
crocodile dundee 2,1988-05-25,14000000,109306210,239606210
born on the fourth of july,1989-12-20,14000000,70001698,70001698
cool runnings,1993-10-01,14000000,68856263,155056263
stomp the yard,2007-01-12,14000000,61356221,75525718
my bloody valentine,2009-01-16,14000000,51545952,102836002
the possession,2012-08-31,14000000,49130588,82925064
first blood,1982-10-22,14000000,47212904,125212904
the spy who loved me,1977-07-13,14000000,46800000,185400000
urban legend,1998-09-25,14000000,38116707,72571864
taps,1981-12-09,14000000,35856053,35856053
tyler perry's good deeds,2012-02-24,14000000,35025791,35579177
white fang,1991-01-18,14000000,34729091,34729091
dangerous liaisons,1988-12-21,14000000,34700000,34700000
superstar,1999-10-08,14000000,30628981,30628981
the iron lady,2012-01-13,14000000,29959436,115592104
poetic justice,1993-07-23,14000000,27450453,27450453
jonah: a veggietales movie,2002-10-04,14000000,25571351,25608779
all about the benjamins,2002-03-08,14000000,25482931,25873145
exorcist ii: the heretic,1977-06-17,14000000,25011000,25011000
our family wedding,2010-03-12,14000000,20255281,21410546
vampire in brooklyn,1995-10-27,14000000,19637147,19637147
an american haunting,2006-05-05,14000000,16298046,30443277
my boss's daughter,2003-08-22,14000000,15549702,15549702
a perfect getaway,2009-08-07,14000000,15515460,22815460
thinner,1996-10-25,14000000,15171475,15171475
dead man on campus,1998-08-21,14000000,15064948,15064948
tea with mussolini,1999-05-14,14000000,14395874,14395874
"new york, new york",1977-06-22,14000000,13800000,13800000
jason x,2002-04-26,14000000,13121555,16951798
crooklyn,1994-05-13,14000000,13024170,13024170
i think i love my wife,2007-03-16,14000000,12559771,13205411
hot tub time machine 2,2015-02-20,14000000,12314651,12826644
bobby,2006-11-17,14000000,11242801,20597806
head over heels,2001-02-02,14000000,10397365,10397365
fun size,2012-10-26,14000000,9409538,11166615
lost and found,1999-04-23,14000000,6552255,6552255
le scaphandre et le papillon,2007-11-30,14000000,5990075,22754472
little children,2006-10-06,14000000,5463019,14121177
gossip,2000-04-21,14000000,5108820,12591270
a walk on the moon,1999-03-26,14000000,4741987,4741987
suffragette,2015-10-23,14000000,4702420,34044909
catch a fire,2006-10-27,14000000,4299773,5782198
mr. turner,2014-12-19,14000000,3958546,25187026
soul survivors,2001-09-07,14000000,3100650,4288246
easy virtue,2009-05-22,14000000,2656784,20537741
jefferson in paris,1995-03-31,14000000,2461628,2461628
flipped,2010-08-06,14000000,1755212,4289993
caravans,1978-01-01,14000000,1000000,1000000
les herbes folles,2010-06-25,14000000,403952,1903952
amen,2003-01-24,14000000,274299,274299
the lucky ones,2008-09-26,14000000,266967,266967
margaret,2011-09-30,14000000,47185,623292
reign of assassins,2016-11-01,14000000,0,11354230
stan helsing: a parody,2009-10-27,14000000,0,1553556
brokeback mountain,2005-12-09,13900000,83043761,176980863
clueless,1995-07-01,13700000,56598476,56598476
ca$h,2008-12-31,13700000,0,11738256
teenage mutant ninja turtles,1990-03-30,13500000,135265915,202000000
the ten commandments,1956-10-05,13500000,85400591,85434516
far from heaven,2002-11-08,13500000,15901849,29027914
seven psychopaths,2012-10-12,13500000,15024049,33035736
quills,2000-11-22,13500000,7060876,11732088
the border,1982-01-29,13500000,6118683,6118683
der untergang,2005-02-18,13500000,5501940,93631744
the caveman's valentine,2001-03-02,13500000,687081,892506
the last godfather,2011-04-01,13400000,164247,164247
under the skin,2014-04-04,13300000,2614251,7229933
mar adentro,2004-12-17,13300000,2086345,39686345
no good deed,2014-09-12,13200000,52543632,54323210
good morning vietnam,1987-12-23,13000000,123922370,123922370
black swan,2010-12-03,13000000,106954678,331266710
save the last dance,2001-01-12,13000000,91038276,122244329
justin bieber: never say never,2011-02-11,13000000,73013910,99034125
the first purge,2018-07-04,13000000,69488745,136617305
miracles from heaven,2016-03-16,13000000,61705123,73798736
snow day,2000-02-11,13000000,60008303,62452927
the butterfly effect,2004-01-23,13000000,57924679,95638592
the godfather: part ii,1974-12-11,13000000,57300000,57300000
the shallows,2016-06-24,13000000,55121623,118763442
robocop,1987-07-17,13000000,53424681,53424681
a nightmare on elm street 4: the dream master,1988-08-19,13000000,49369899,49369899
this christmas,2007-11-21,13000000,49121934,49733545
about last night,2014-02-14,13000000,48637684,50445860
"dude, where's my car?",2000-12-15,13000000,46729374,73180297
young guns,1988-08-12,13000000,44726644,44726644
st. vincent,2014-10-10,13000000,44137712,54837234
earth to echo,2014-07-02,13000000,38934842,42174545
10 things i hate about you,1999-03-31,13000000,38177966,60413950
the new guy,2002-05-10,13000000,28972187,28972187
loaded weapon 1,1993-02-05,13000000,27979399,27979399
baby geniuses,1999-03-12,13000000,27151490,27151490
the big hit,1998-04-24,13000000,27066941,27066941
child's play 2,1990-11-09,13000000,26904572,34166572
harriet the spy,1996-07-10,13000000,26570048,26570048
21 and over,2013-03-01,13000000,25682380,42195766
the mist,2007-11-21,13000000,25593755,57189408
ex machina,2015-04-10,13000000,25440971,38358392
being john malkovich,1999-10-29,13000000,22858926,32382381
two can play that game,2001-09-07,13000000,22235901,22391450
eye in the sky,2016-03-11,13000000,18704596,35402802
admission,2013-03-22,13000000,18007317,18733666
the perks of being a wallflower,2012-09-21,13000000,17742948,33069303
